00, 00, 00, 01, 01, 01, 
01, 01, 01, 10, 01, 10, 
08, 01, 10, 10, 10, 10, 
08, 08, 02, 10, 11, 10, 
08, 00, 00, 00, 03, 11, 
00, 00, 00, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 03, 01, 10, 10, 
08, 03, 03, 03, 11, 10, 
08, 02, 02, 02, 11, 11, 
08, 08, 00, 03, 11, 11, 
08, 00, 03, 03, 03, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
01, 01, 01, 10, 01, 10, 
08, 01, 10, 10, 10, 10, 
08, 08, 03, 10, 11, 10, 
08, 03, 03, 03, 03, 11, 
00, 00, 00, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 03, 01, 10, 10, 
08, 03, 03, 03, 11, 10, 
08, 01, 01, 01, 11, 11, 
08, 08, 01, 03, 11, 11, 
08, 00, 03, 03, 03, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
01, 01, 01, 10, 01, 10, 
08, 01, 10, 10, 10, 10, 
08, 08, 02, 10, 11, 10, 
08, 03, 00, 00, 00, 11, 
03, 03, 03, 00, 00, 00, 
08, 00, 01, 01, 01, 10, 
08, 08, 03, 01, 10, 10, 
08, 03, 03, 03, 11, 10, 
08, 02, 02, 02, 11, 11, 
08, 08, 03, 00, 11, 11, 
08, 03, 03, 03, 00, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 01, 01, 01, 01, 10, 
08, 08, 01, 03, 10, 10, 
08, 11, 03, 03, 03, 10, 
11, 00, 00, 00, 03, 11, 
00, 00, 00, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 08, 01, 10, 10, 
08, 11, 08, 08, 10, 10, 
11, 11, 08, 10, 10, 11, 
11, 11, 00, 03, 10, 11, 
11, 00, 03, 03, 03, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 00, 00, 00, 01, 10, 
08, 08, 10, 08, 10, 10, 
08, 10, 10, 08, 08, 10, 
11, 03, 10, 08, 03, 11, 
03, 03, 03, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 00, 01, 10, 10, 
08, 01, 01, 01, 10, 10, 
11, 08, 01, 10, 10, 11, 
11, 08, 08, 03, 10, 11, 
11, 08, 03, 03, 03, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 00, 00, 00, 01, 10, 
08, 08, 10, 09, 10, 10, 
08, 10, 10, 09, 11, 10, 
11, 03, 10, 09, 03, 11, 
03, 03, 03, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 00, 01, 10, 10, 
08, 01, 01, 01, 11, 10, 
11, 08, 01, 09, 11, 11, 
11, 08, 08, 03, 11, 11, 
11, 08, 03, 03, 03, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 00, 00, 00, 01, 11, 
08, 08, 10, 09, 11, 10, 
08, 10, 10, 09, 10, 10, 
11, 03, 10, 09, 03, 10, 
03, 03, 03, 03, 03, 03, 
08, 00, 01, 01, 01, 11, 
08, 08, 00, 01, 11, 11, 
08, 01, 01, 01, 11, 11, 
11, 08, 01, 09, 11, 10, 
11, 08, 08, 03, 10, 10, 
11, 08, 03, 03, 03, 10, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 00, 00, 00, 01, 10, 
08, 08, 10, 08, 10, 10, 
08, 10, 10, 08, 08, 10, 
11, 03, 10, 08, 03, 11, 
03, 03, 03, 03, 03, 03, 
08, 00, 01, 01, 01, 10, 
08, 08, 00, 01, 10, 10, 
08, 08, 01, 01, 01, 10, 
11, 08, 08, 01, 10, 11, 
11, 08, 03, 10, 10, 11, 
11, 03, 03, 03, 10, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
08, 01, 01, 01, 01, 10, 
08, 08, 01, 03, 10, 10, 
08, 11, 03, 03, 03, 10, 
11, 03, 00, 00, 00, 11, 
03, 03, 03, 00, 00, 00, 
08, 00, 01, 01, 01, 10, 
08, 08, 08, 01, 10, 10, 
08, 11, 08, 08, 10, 10, 
11, 11, 08, 10, 10, 11, 
11, 11, 03, 00, 10, 11, 
11, 03, 03, 03, 00, 11, 
########################################################
00, 00, 00, 03, 02, 09, 
11, 03, 03, 03, 03, 09, 
03, 03, 03, 11, 08, 09, 
09, 00, 00, 00, 08, 08, 
09, 01, 01, 01, 08, 11, 
09, 02, 01, 00, 00, 00, 
11, 00, 10, 02, 02, 02, 
11, 10, 10, 11, 08, 09, 
11, 10, 10, 11, 08, 08, 
10, 10, 00, 11, 08, 11, 
09, 10, 01, 01, 01, 11, 
02, 02, 02, 01, 00, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
11, 00, 00, 00, 01, 10, 
08, 01, 01, 01, 10, 10, 
08, 08, 01, 03, 11, 10, 
08, 03, 03, 03, 03, 11, 
03, 03, 03, 00, 00, 00, 
11, 00, 01, 01, 01, 10, 
11, 08, 00, 01, 10, 10, 
11, 08, 08, 10, 11, 10, 
08, 08, 10, 10, 11, 11, 
08, 08, 03, 10, 11, 11, 
08, 03, 03, 03, 00, 11, 
########################################################
00, 00, 00, 01, 01, 01, 
11, 00, 00, 00, 01, 10, 
08, 11, 09, 08, 10, 10, 
08, 08, 09, 08, 08, 10, 
08, 03, 09, 08, 03, 11, 
03, 03, 03, 03, 03, 03, 
11, 00, 01, 01, 01, 10, 
11, 11, 00, 01, 10, 10, 
11, 11, 01, 01, 01, 10, 
08, 11, 09, 01, 10, 11, 
08, 08, 03, 10, 10, 11, 
08, 03, 03, 03, 10, 11, 
########################################################
